"","X_STATE","percent"
"1",1,4.58133150308854
"2",2,2.79158699808795
"3",4,3.07404891304348
"4",5,4.97946611909651
"5",6,2.83262811471556
"6",8,2.67942583732057
"7",9,3.60756709194897
"8",10,4.20361247947455
"9",11,4.01726427622842
"10",12,4.51586655817738
"11",13,3.93177218849378
"12",15,3.56458413185128
"13",16,2.91171674819474
"14",17,3.38900992495764
"15",18,4.02436371546661
"16",19,1.88879456706282
"17",20,3.86517677230262
"18",21,3.96145610278373
"19",22,5.16246583662314
"20",23,3.77075959705962
"21",24,3.36861388153877
"22",25,3.66372757677106
"23",26,3.31202789076119
"24",27,2.87838810266251
"25",28,6.00178491744757
"26",29,3.87766247951939
"27",30,2.8735632183908
"28",31,3.36231438024159
"29",32,4.88033786954481
"30",33,3.77049180327869
"31",34,4.15502793296089
"32",35,3.39645944833265
"33",36,4.15247720531693
"34",37,4.29323612798704
"35",38,2.77629471436199
"36",39,3.50506286858796
"37",40,4.52929066067752
"38",41,2.66249021143305
"39",42,3.82090951711205
"40",44,4.13985413985414
"41",45,4.31958057898336
"42",46,1.27217344561906
"43",47,4.08819476343592
"44",48,4.18568515101486
"45",49,2.41009946442234
"46",50,3.70295834171866
"47",51,3.61194029850746
"48",53,2.4400296760366
"49",54,5.2863436123348
"50",55,2.97517123287671
"51",56,3.14404094564952
"52",66,3.23426573426573
"53",72,7.83713815015298
